,marketSegment,project,street,x,y
466,CCR,DALVEY COURT,DALVEY ESTATE,26782.32120343,33704.538419329997
467,CCR,LANDED HOUSING DEVELOPMENT,NAMLY CRESCENT,23980.82197524,34307.228629839999
468,RCR,VISTA RESIDENCES,JALAN DATOH,29102.05684684,34509.890160859998
469,OCR,KIMNAN PARK,JALAN SELAMAT,37068.92078072,34260.673617169996
470,RCR,D'LOTUS,LORONG AMPAS,30283.88498847,34295.039244159997
471,CCR,THE TESSARINA,WILBY ROAD,23073.7414934,34927.171202780001
472,RCR,PARC ASTON,LEICESTER ROAD,31828.887067159999,34717.14751835
473,RCR,SHAW PLAZA - TWIN HEIGHTS,BALESTIER ROAD,29994.5862,34115.6035
474,RCR,CLYDES RESIDENCE,MERGUI ROAD,30111.271623479999,33303.841219650003
475,CCR,SUITES @ NEWTON,SURREY ROAD,28926.006784910001,33184.103503890003
476,RCR,28 RC SUITES,RACE COURSE LANE,30178.3326,32468.5977
477,CCR,MOUNT SINAI RESIDENCES,MOUNT SINAI LANE,22698.08405494,33150.180279930001
478,CCR,THE CLAYMORE,CLAYMORE ROAD,27809.88232659,32405.46131079
479,RCR,TYRWHITT 139,TYRWHITT ROAD,30972.935457569999,32647.797952809999
480,CCR,111 EMERALD HILL,EMERALD HILL ROAD,28685.348095250001,31935.654249429998
481,CCR,GALLOP PARK,GALLOP ROAD,25703.145724560001,33062.490246729999
482,OCR,THE TRUMPS,JALAN KEMBANGAN,36947.465936920001,33653.010738269997
483,CCR,MING TECK PARK,MING TECK PARK,23104.163428939999,33729.036170789997
484,RCR,GALLERY FIFTEEN,JALAN DUSUN,29149.41817755,34413.685773980001
485,CCR,LANDED HOUSING DEVELOPMENT,FERNHILL CRESCENT,26959.0454,32881.2202
486,CCR,ROBERTSON BLUE,ROBERTSON QUAY,28442.8254,30304.5751
487,RCR,THE URBANITE,HERTFORD ROAD,29678.300861839999,32871.80855996
488,OCR,LANDED HOUSING DEVELOPMENT,JALAN GRISEK,37265.112404959999,34147.611646310001
489,RCR,MOONSTONE RESIDENCES,MOONSTONE LANE,31656.094311279999,34403.857740729999
490,CCR,HENRY PARK,GROVE CRESCENT,22471.997891500001,32813.07076054
491,RCR,KENG LEE VIEW,KENG LEE ROAD,29420.77992055,32904.501069509999
492,CCR,STELLAR RV,RIVER VALLEY ROAD,27467.285687529999,30845.27170121
493,CCR,AVALON,ANDERSON ROAD,27508.61228817,32773.261692320003
494,OCR,LANDED HOUSING DEVELOPMENT,JALAN LATEH,31965.176714750002,36273.691887540003
495,CCR,CYAN,KENG CHIN ROAD,27634.39688143,33270.054120389997
496,RCR,RESIDENTIAL APARTMENTS,LORONG 24A GEYLANG,33674.902840759997,32680.584994709999
497,CCR,VERDURE,HOLLAND ROAD,25059.55379123,32401.720329190001
498,CCR,THREE THREE ROBIN,ROBIN ROAD,27500.619585669999,33257.12411155
499,OCR,KINGSTON TERRACE,JALAN MASJID,36851.846589170003,33553.116860440001
500,CCR,DORMER PARK,JERVOIS ROAD,26684.948770139999,30750.267631920001
501,CCR,CORONATION ARCADE,CORONATION ROAD,25468.743863649999,33944.035426859999
502,CCR,2 RVG,RIVER VALLEY GROVE,28119.316808910002,30983.03094217
503,CCR,CAIRNHILL PLAZA,CAIRNHILL ROAD,28399.52343533,32135.985021150001
504,RCR,RIO GARDENS,JALAN TAMAN,31506.331939340001,34361.131108010003
505,RCR,WING FONG MANSIONS,LORONG 14 GEYLANG,33101.113637200002,32612.879635660002
506,RCR,BIRCHWOOD MANSIONS,JALAN AMPAS,29967.420777230001,34235.532245619999
507,OCR,SUITES@BRADDELL,BRADDELL ROAD,31926.3255,36196.3522
508,CCR,LANDED HOUSING DEVELOPMENT,JALAN ILMU,26383.706960890002,34542.983236920002
509,RCR,KENTISH COURT,OXFORD ROAD,30159.98660546,33090.793144540003
510,CCR,SOMMERVILLE GRANDEUR,FARRER DRIVE,25066.795335980001,33048.614108119998
511,CCR,DUNEARN SUITES,DUNEARN ROAD,25475.69169215,34098.501985650003
512,CCR,THE ARMADALE,GILSTEAD ROAD,28785.675487800001,33479.089963920003
513,CCR,WATTEN RESIDENCES,WATTEN RISE,25211.30328752,34491.870577000002
514,CCR,ALLSWORTH PARK,HOLLAND ROAD,22134.356849349999,33581.597686719997
515,RCR,GAIA,JALAN DUSUN,29176.153513969999,34455.635190630001
516,CCR,THE RESIDENCES AT BARKER,BARKER ROAD,28072.8505558,33661.935182289997
517,CCR,WILKIE STUDIO,WILKIE ROAD,29592.480655290001,31754.324279150002
518,CCR,JERVOIS VIEW,JERVOIS ROAD,27011.18366897,30679.706379880002
519,RCR,THE WATER EDGE,LORONG 38 GEYLANG,34175.020195770001,32913.373869390003
520,CCR,PARC STEVENS,STEVENS DRIVE,27323.813500669999,33210.565875699998
521,CCR,DUCHESS GARDEN,CORONATION ROAD,24410.674328100001,33905.809672190003
522,OCR,LANDED HOUSING DEVELOPMENT,JALAN LAPANG,37310.022770310001,33931.58476703
523,CCR,38 JERVOIS,JERVOIS ROAD,26829.549665819999,30709.044900410002
524,CCR,DUNEARN GARDENS,DUNEARN ROAD,28628.1599,32978.9567
525,RCR,KALLANG RIVERSIDE,KAMPONG BUGIS,31738.620380759999,32160.193364170001
526,CCR,ONE AKYAB,AKYAB ROAD,29630.912951750001,33893.889219350002
527,RCR,ASCENT @ 456,BALESTIER ROAD,29687.822283300001,34306.811402270001
528,CCR,VIVACE,TONG WATT ROAD,28819.318668560001,30611.983998389998
529,CCR,ATTITUDE AT KIM YAM,KIM YAM ROAD,28615.72312348,30870.697594669999
530,CCR,LUTHERAN TOWERS,TAN KIM CHENG ROAD,25646.445395160002,33720.032116610003
531,RCR,PAPILLON,JALAN RAMA RAMA,29779.667462680001,34354.197846870001
532,CCR,FRASER SUITES,RIVER VALLEY ROAD,27312.2611,30597.8674
533,RCR,AMPAS APARTMENTS,JALAN AMPAS,30015.43588579,34309.554103719999
534,CCR,MULBERRY TREE,MOULMEIN ROAD,29460.93526884,33372.304151559997
535,CCR,LANDED HOUSING DEVELOPMENT,JALAN HAROM SETANGKAI,25603.304763839999,33534.328030030002
536,CCR,BALMORAL GATE,BALMORAL ROAD,28143.846895229999,33287.027663790003
537,RCR,PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,,
538,CCR,LANDED HOUSING DEVELOPMENT,MING TECK PARK,22926.181544700001,33409.507577160002
539,CCR,RESIDENTIAL APARTMENTS,BALMORAL PARK,27601.19678335,32978.153024469998
540,RCR,RESIDENTIAL APARTMENTS,LORONG 4 GEYLANG,32777.256099949999,32418.442170669999
541,CCR,AVENUE VILLAS,FIFTH AVENUE,23742.69373363,34424.98428498
542,CCR,QUEENSBERRY LODGE,SHANGHAI ROAD,27350.054828059999,30837.651530749999
543,RCR,BALESTIER PLAZA,BALESTIER ROAD,29956.793104020001,34255.53801955
544,CCR,PATERSON LINC,PATERSON ROAD,27619.738980029998,31732.548117650002
545,RCR,REGAL 35,LORONG 35 GEYLANG,34117.317346239998,33093.735278499998
546,OCR,SARINA TERRACE,LORONG SARINA,36351.631594999997,33446.107857379999
547,CCR,GRAMERCY PARK,GRANGE ROAD,27307.529015920001,31239.778108219999
548,CCR,KASTURINA LODGE,KAY POH ROAD,27620.09623723,30994.197767870002
549,RCR,LANDED HOUSING DEVELOPMENT,LORONG BUNGA,32535.902609610001,34873.883683479998
550,RCR,ONE LEICESTER,LEICESTER ROAD,31831.50895742,34695.912846689998
551,OCR,LANDED HOUSING DEVELOPMENT,JALAN KEMBANGAN,36900.732396930001,34122.336986529998
552,CCR,LANDED HOUSING DEVELOPMENT,WATTEN RISE,25353.512578010001,34514.263859409997
553,RCR,SUITES @ OWEN,OWEN ROAD,30192.14244908,32925.052973549997
554,OCR,LANDED HOUSING DEVELOPMENT,VAUGHAN ROAD,,
555,CCR,LANDED HOUSING DEVELOPMENT,BUKIT SEDAP ROAD,22609.48527386,33503.287523970003
556,RCR,LANDED HOUSING DEVELOPMENT,HAPPY AVENUE NORTH,33328.39996199,34841.63674555
557,CCR,LANDED HOUSING DEVELOPMENT,NAMLY AVENUE,23704.37800202,34159.834737550003
558,RCR,RESIDENTIAL APARTMENTS,TRURO ROAD,29795.055702640001,32930.339717909998
559,RCR,LANDED HOUSING DEVELOPMENT,PUAY HEE AVENUE,32364.66921101,34954.520151519997
560,RCR,LANDED HOUSING DEVELOPMENT,JALAN KEMAMAN,29917.75810578,34326.866743159997
561,CCR,NOVENA HILL,JALAN NOVENA,29115.5126,34010.259
562,CCR,ST THOMAS SUITES,ST. THOMAS WALK,28374.88750424,31205.473227280001
563,CCR,HOLLAND HILL PARK,HOLLAND HILL,24530.320937430001,32468.547062000001
564,CCR,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,27305.995184499999,31499.018375689998
565,CCR,LANDED HOUSING DEVELOPMENT,LOTUS AVENUE,23574.98520705,34718.257268940001
566,CCR,BEAUFORT ON NASSIM,NASSIM ROAD,27066.705200920002,32368.825708349999
567,CCR,POLLEN & BLEU,FARRER DRIVE,25099.4545,32957.2731
568,CCR,LANDED HOUSING DEVELOPMENT,CYPRESS AVENUE,23389.02363222,34779.578489239999
569,CCR,QUINTERRA,HOLLAND ROAD,22159.00639552,33468.482656819997
570,RCR,THE VERVE,JALAN RAJAH,29640.394164849999,34447.707012799999
571,RCR,THE CITRON RESIDENCES,MARNE ROAD,30678.06200793,32775.20575919
572,CCR,JAYA TOWER,BUKIT TIMAH ROAD,26981.964572369999,33667.32847503
573,CCR,LANDED HOUSING DEVELOPMENT,LIM TAI SEE WALK,23449.782329520001,33902.556194689999
574,CCR,LANDED HOUSING DEVELOPMENT,WATTEN VIEW,25406.667760540001,34795.215736770003
575,OCR,LANDED HOUSING DEVELOPMENT,LORONG SARINA,36257.337502849997,33417.933524439997
576,CCR,CUSCADEN RESIDENCES,CUSCADEN ROAD,27267.96103107,31924.4256116
577,OCR,LANDED HOUSING DEVELOPMENT,JALAN SENYUM,37019.114123090003,33960.27321386
578,OCR,SOMMERVILLE REGENCY,LORONG SELANGAT,31871.01799993,36463.278594650001
579,RCR,8@WOODLEIGH,WOODLEIGH CLOSE,32047.435034840002,35391.623803649998
580,OCR,LANDED HOUSING DEVELOPMENT,COTSWOLD CLOSE,31078.09277567,36476.812620480003
581,CCR,PEACE CENTRE/MANSIONS,SOPHIA ROAD,29842.172769189999,31566.359526489999
582,OCR,DENG FU VILLE,KAMPONG EUNOS,36208.083959580002,33517.013803770001
583,CCR,QUEEN ASTRID PARK,QUEEN ASTRID PARK,23263.428197369999,33352.027412080002
584,CCR,LANDED HOUSING DEVELOPMENT,LINDEN DRIVE,24457.683338880002,34993.508003780001
585,CCR,LANDED HOUSING DEVELOPMENT,SHELFORD ROAD,25429.001251230002,34345.55345017
586,RCR,BALMY COURT,LORONG 27A GEYLANG,33754.474606389999,32928.833568589999
587,OCR,FRANKEL ESTATE,BOWMONT GARDENS,37641.1318,32934.3494
588,CCR,KHEAM HOCK GARDENS,KHEAM HOCK ROAD,26566.133572310001,34551.4373712
589,CCR,SUFFOLK PREMIER,SUFFOLK ROAD,29250.730598120002,32945.038875009998
590,CCR,LANDED HOUSING DEVELOPMENT,GILSTEAD ROAD,28602.44068506,33475.04533184
591,RCR,THE OCTET,LORONG 24 GEYLANG,33596.102744579997,32713.618357060001
592,OCR,E MAISON,BRADDELL ROAD,31946.6072,36240.1592
593,RCR,DE PARADISO,MARTABAN ROAD,29936.568025310001,34046.940985750003
594,CCR,HILLCREST PARK,GREENVIEW CRESCENT,24977.44326967,35247.16251815
595,CCR,FAIRLODGE,HOLLAND ROAD,24481.18982069,32723.269621239999
596,RCR,OLEANDER TOWERS,LORONG 1 TOA PAYOH,29218.1204,35034.0225
597,CCR,JUNIPER AT ARDMORE,ARDMORE PARK,27648.91735385,32387.779940129998
598,CCR,THE LEGEND,BUKIT TIMAH ROAD,27599.725784879998,33443.428266790002
599,CCR,DUKE'S GARDEN,DUCHESS ROAD,25182.19112078,34066.002085309997
600,RCR,RESIDENTIAL APARTMENTS,LORONG 16 GEYLANG,33159.7111,32588.4984
601,OCR,MILFORD VILLAS,LORONG SELANGAT,31961.820057670001,36442.868764200004
602,CCR,THE TOMLINSON,CUSCADEN ROAD,27206.04075404,31884.437361450001
603,OCR,BLISS VILLE,LORONG MELAYU,36446.8095,34004.1535
604,RCR,EIGHT RIVERSUITES,WHAMPOA EAST,31500.5377,33739.0184
605,CCR,MEDGE,MINBU ROAD,29889.579430910001,33949.849291379998
606,RCR,SCENIC HEIGHTS,BALESTIER ROAD,30109.46269524,33772.427421949997
607,CCR,PINEWOOD GARDENS,BALMORAL PARK,27659.81304757,33118.235290799999
608,OCR,MEDALLION,BRADDELL ROAD,31246.793109230001,36226.93249057
609,CCR,MARTINA MANSIONS,BUKIT TIMAH ROAD,28015.26257263,33316.852600010001
610,RCR,THE VIRIDIAN,JALAN AMPAS,30032.541417149999,34255.918216710003
611,RCR,CITY REGENCY,ST. MICHAEL'S ROAD,31405.105125169998,34296.035699900002
612,CCR,THE MARBELLA,MOUNT SINAI RISE,21820.82888621,32978.502803929998
613,CCR,MARTIN NO 38,MARTIN ROAD,28525.101345659999,30491.854114069999
614,RCR,CASSIA EDGE,GUILLEMARD ROAD,33840.014653459999,32644.34633
615,CCR,THE LINCOLN MODERN,LINCOLN ROAD,29090.598397709998,33098.10444545
616,RCR,LANDED HOUSING DEVELOPMENT,JALAN RAYA,33597.704212770003,34551.920748299998
617,CCR,TREASURE LOFT,SHREWSBURY ROAD,29814.14578007,33434.041517579997
618,RCR,LANDED HOUSING DEVELOPMENT,LORONG 36 GEYLANG,34099.435239540001,32858.693685850003
619,OCR,EUNOS GREEN,SIMS AVENUE EAST,36052.404849110002,33426.200839930002
620,CCR,LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,25001.82524569,33890.995490240003
621,CCR,HOLLAND MEWS,HOLLAND ROAD,25016.281188259998,32435.61897694
622,CCR,LANDED HOUSING DEVELOPMENT,DUCHESS ROAD,24952.8937,33790.0737
623,CCR,LANDED HOUSING DEVELOPMENT,GENTLE ROAD,28551.440018740001,33435.44356827
624,RCR,NEW COURT,JALAN DUSUN,29157.840957669998,34500.249528079997
625,CCR,SOPHIA LODGE,SOPHIA ROAD,29646.628991040001,31566.63909692
626,CCR,HILLCREST VILLA,HILLCREST ROAD,24870.501454339999,34511.18751667
627,CCR,EVELYN MANSIONS,EVELYN ROAD,28657.658644770001,33184.694853099998
628,CCR,CITY TOWERS,BUKIT TIMAH ROAD,27982.320336489999,33285.561668919997
629,CCR,LANDED HOUSING DEVELOPMENT,BISHOPSGATE,26890.578224760002,31204.388010949998
630,RCR,RESIDENTIAL APARTMENTS,KIM KEAT CLOSE,30204.224904319999,34008.750239610002
631,RCR,CENTRA HEIGHTS,SIMS AVENUE,33919.194535200002,33169.603262259998
632,RCR,MELOSA,LORONG 28 GEYLANG,33787.643458549998,32783.482391710002
633,CCR,OUE TWIN PEAKS,LEONIE HILL ROAD,28035.275365509999,31320.869310360001
634,CCR,CHANCERY ESQUIRE,CHANCERY LANE,28351.689863729999,33349.445902520001
635,RCR,CITY STUDIOS,RACE COURSE LANE,30177.324367470001,32486.7643576
636,RCR,TREASURES@G6,LORONG 6 GEYLANG,32828.818468440003,32549.38119537
637,CCR,PROXIMO,ROBIN ROAD,27504.39864324,33293.803687549998
638,CCR,LANDED HOUSING DEVELOPMENT,JALAN LIM TAI SEE,23542.59406774,33733.302507130004
639,CCR,ZEDGE,AKYAB ROAD,29648.311772029999,33840.363590360001
640,RCR,KIM KEAT LODGE,KIM KEAT ROAD,30129.52807532,34057.9204076
641,CCR,OEI TIONG HAM PARK,OEI TIONG HAM PARK,23360.44901999,33070.618387560003
642,CCR,MACKENZIE REGENCY,MACKENZIE ROAD,29807.9756,31897.1651
643,CCR,THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,28559.606,32091.1541
644,CCR,CRYSTAL COURT,RIVER VALLEY ROAD,27302.019138679999,30718.080519319999
645,CCR,PARC CENTENNIAL,KAMPONG JAVA ROAD,29215.894416940002,32857.419156179998
646,CCR,THE TRILLIUM,KIM SENG ROAD,27901.492519709998,30783.647127040002
647,RCR,LANDED HOUSING DEVELOPMENT,JOO AVENUE,30346.55050421,33115.504252630001
648,CCR,THE OXLEY,OXLEY RISE,28975.366159299999,31257.474189359999
649,CCR,WILKIE COURT,WILKIE ROAD,29488.924501549999,31749.115336169999
650,CCR,LANDED HOUSING DEVELOPMENT,JALAN JELITA,22832.944015709999,33125.265687350002
651,CCR,THE INSPIRA,ARNASALAM CHETTY ROAD,28622.906453760002,30480.367212830001
652,RCR,EURO-ASIA PARK,WOODLEIGH CLOSE,31803.453114179999,35363.458644520001
653,RCR,OKIO,BALESTIER ROAD,30223.107994059999,33814.523068180004
654,CCR,ELIZABETH TOWER,MOUNT ELIZABETH,28329.66276965,32068.194103720001
655,RCR,LA BRISA,LORONG 28 GEYLANG,33787.8413,32696.2399
656,CCR,CAIRNHILL ASTORIA,CAIRNHILL RISE,28674.500218049998,32140.246841629999
657,OCR,YONG SENG ESTATE,JALAN PARAS,37375.601274590003,34239.199402249997
658,CCR,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,25842.0045,33808.2536
659,CCR,THE ORCHARD RESIDENCES,ORCHARD BOULEVARD,27811.9021,31791.4718
660,CCR,LANDED HOUSING DEVELOPMENT,GREENVIEW CRESCENT,25005.383399320001,35240.39840331
661,CCR,SPANISH VILLAGE,FARRER ROAD,24914.968903369999,33041.538980560003
662,RCR,BARTLEY RIDGE,MOUNT VERNON ROAD,33363.0949,35909.7886
663,RCR,GRANDLINK SQUARE,GUILLEMARD ROAD,34480.218920899999,32933.316789989997
664,CCR,ONE JERVOIS,JERVOIS CLOSE,27136.634158450001,30598.000962799998
665,CCR,TOP TEN,EMERALD HILL ROAD,28716.07282662,31916.323134389998
666,CCR,ONE TREE HILL RESIDENCE,ONE TREE HILL,27078.877460759998,31468.642943970001
667,RCR,CHELSEA GROVE,MARTABAN ROAD,29982.5693,34039.0708
668,CCR,ORCHARD COURT,OXLEY ROAD,28905.54812556,31207.483685630001
669,CCR,SOLEIL @ SINARAN,SINARAN DRIVE,29300.5389,33529.3051
670,RCR,RIVERSIDE MELODIES,ST. MICHAEL'S ROAD,31449.59481385,34398.931473190003
671,CCR,LANDED HOUSING DEVELOPMENT,NAMLY HILL,24170.573343930001,34165.214440169999
672,CCR,THE SIXTH AVENUE RESIDENCES,SIXTH AVENUE,23493.190163949999,34387.69673982
673,RCR,THE VENUE RESIDENCES,TAI THONG CRESCENT,32017.45555387,34569.631754659997
674,CCR,LANDED HOUSING DEVELOPMENT,PEEL ROAD,24930.800542229999,31585.939302400002
675,CCR,LE WILKIE,WILKIE ROAD,29628.46495549,31706.87787786
676,OCR,D' ALMIRA,SOMMERVILLE ROAD,31875.23821259,36332.521486700002
677,CCR,THE FORD @ HOLLAND,FORD AVENUE,23580.150364839999,32918.010898079997
678,CCR,NASSIM MANSION,NASSIM HILL,26422.341118010001,32481.387464959998
679,CCR,KELLOCK LODGE,KELLOCK ROAD,27625.320519299999,30822.100933310001
680,CCR,PASADENA,DERBYSHIRE ROAD,29364.31202453,33068.938873570001
681,CCR,LANDED HOUSING DEVELOPMENT,JALAN AMPANG,23607.23931059,33675.242639279999
682,CCR,SYLVAN LODGE,HOLLAND ROAD,24069.509042609998,32778.55734546
683,RCR,VETRO,MAR THOMA ROAD,31264.676210910001,34424.373166090003
684,CCR,RV RESIDENCES,RIVER VALLEY ROAD,27467.0644,30755.4567
685,RCR,OXFORD SUITES,OXFORD ROAD,30126.60144682,33101.547143189999
686,CCR,BALMORAL PLAZA,BUKIT TIMAH ROAD,28235.199016930002,33185.12039876
687,RCR,LOFT 33,LORONG 32 GEYLANG,33991.280388630002,32798.364572190002
688,OCR,THE LATTIZ,LORONG SALLEH,36121.786378159999,34058.2974244
689,CCR,RIVERGATE,ROBERTSON QUAY,28376.936933010001,30508.130785820001
690,RCR,KENG LEE COURT,KENG LEE ROAD,29593.75047754,32808.043096070002
691,RCR,SUNFLOWER REGENCY,LORONG 20 GEYLANG,33371.719929579998,32625.847576789999
692,RCR,PRIMEDGE,LORONG 34 GEYLANG,34094.112532000001,32762.380934009999
693,CCR,THE BOUTIQ,KILLINEY ROAD,28586.686979999999,30995.690625259999
694,CCR,CHANCERY COURT,DUNEARN ROAD,28303.354713700001,33276.69236424
695,CCR,ADAM PLACE,ADAM ROAD,25710.0198,34144.0794
696,CCR,LANDED HOUSING DEVELOPMENT,KHEAM HOCK ROAD,26512.59385413,34604.299536479999
697,OCR,LANDED HOUSING DEVELOPMENT,JALAN SELAMAT,37204.604538590002,33865.64723227
698,CCR,CASA JERVOIS,JERVOIS ROAD,26399.553457139999,30830.9542922
699,CCR,D'GROVE VILLAS,ORANGE GROVE ROAD,27405.78088807,32396.43707526
700,CCR,HILLTOPS,CAIRNHILL CIRCLE,28570.7132,32185.3383
701,OCR,ASTOR,LENGKONG EMPAT,36888.406759949998,34558.27200119
702,CCR,RESIDENCES @ KILLINEY,KILLINEY ROAD,28550.13444028,31003.734210410001
703,CCR,HOLLAND GREEN,HOLLAND GREEN,22457.618919660001,34278.333052969998
704,RCR,RAJAH TOWERS,JALAN RAJAH,29775.334708059998,34441.801038690003
705,CCR,LEEDON 2,LEEDON ROAD,23964.422061600001,32849.218290760002
706,RCR,PLATINUM EDGE,LEICESTER ROAD,31726.68585383,34752.952736189998
707,CCR,ONE DUCHESS,DUCHESS ROAD,25227.05345161,34125.636318559996
708,RCR,LANDED HOUSING DEVELOPMENT,SERANGOON ROAD,31349.04364677,33860.559626159998
709,CCR,ONE DEVONSHIRE,DEVONSHIRE ROAD,28503.816203089999,31092.417392859998
710,CCR,LANGSTON VILLE,KIM YAM ROAD,28661.656081179999,30823.526588350001
711,CCR,L'VIV,NEWTON ROAD,28820.208650479998,33080.056438169998
712,CCR,LANDED HOUSING DEVELOPMENT,VANDA DRIVE,24358.072353999998,35094.331745750002
713,RCR,FORTE SUITES,MERGUI ROAD,30055.044532549998,33339.392972899999
714,CCR,LUSH ON HOLLAND HILL,HOLLAND HILL,24410.403443329999,32386.984521519999
715,RCR,LANDED HOUSING DEVELOPMENT,SIAK KEW AVENUE,32418.7036,34745.6708
716,RCR,RESIDENTIAL APARTMENTS,SOMME ROAD,30789.471796749999,32568.788593500001
717,RCR,VA RESIDENCES,BOON TECK ROAD,29843.184025439999,34323.476950750002
718,RCR,LANDED HOUSING DEVELOPMENT,KENANGA AVENUE,32708.2202,35034.1543
719,CCR,LANDED HOUSING DEVELOPMENT,GARLICK AVENUE,23341.119654529999,34310.622197540002
720,CCR,GREENWOOD MEWS,GREENWOOD AVENUE,24889.1193,35447.9759
721,CCR,LANDED HOUSING DEVELOPMENT,KIM YAM ROAD,28788.375994529999,30565.241122270001
722,CCR,BOULEVARD VUE,CUSCADEN WALK,27517.954181370001,31737.32182697
723,CCR,CASABELLA,DUCHESS AVENUE,24270.708140100001,34003.44250413
724,CCR,MOULMEIN COURT,MOULMEIN ROAD,29874.510422370002,33451.908092929999
725,CCR,PATERSON SUITES,PATERSON ROAD,27688.448054230001,31483.956864779999
726,CCR,SHELFORD REGENCY,SHELFORD ROAD,25546.146012250001,34327.367617220002
727,RCR,RESIDENTIAL APARTMENTS,LORONG 42 GEYLANG,34329.786298919999,32928.346276379998
728,CCR,LANDED HOUSING DEVELOPMENT,STEVENS DRIVE,27307.505838580002,33301.75311379
729,OCR,GROSVENOR VIEW,LENGKONG EMPAT,36731.088501190001,34430.237170209997
730,CCR,THE BOTANIC ON LLOYD,LLOYD ROAD,28683.951805440001,30999.93061266
731,CCR,SUITES @ SHREWSBURY,SHREWSBURY ROAD,29742.175743590001,33391.360940009997
732,CCR,THREE BALMORAL,BALMORAL ROAD,27714.099693979999,32907.199086109998
733,CCR,ROBERTSON 100,ROBERTSON QUAY,28506.972934249999,30418.244652740001
734,OCR,LANDED HOUSING DEVELOPMENT,LORONG BIAWAK,32109.134719680001,36754.595391569999
735,OCR,LANDED HOUSING DEVELOPMENT,JALAN SENANG,37199.31010557,34193.553811610001
736,CCR,BISHOPSGATE RESIDENCES,BISHOPSGATE,27052.48600369,31202.05601568
737,CCR,KELLETT COURT,SHELFORD ROAD,25634.531672450002,34421.473337950002
738,CCR,RESIDENTIAL APARTMENTS,GRANGE ROAD,27144.33328099,31375.71455257
739,CCR,ORCHID VILLAGE,VANDA ROAD,24302.32171916,35023.793253729997
740,CCR,ASPEN HEIGHTS,RIVER VALLEY ROAD,28735.308293390002,30775.13274397
741,CCR,VIVA,SUFFOLK WALK,29174.94151918,33092.141890110004
742,CCR,LANDED HOUSING DEVELOPMENT,EMERALD HILL ROAD,28709.066335269998,31824.87533366
743,RCR,METRO LOFT,LORONG 27 GEYLANG,33579.450821040003,32930.04299389
744,CCR,TWENTYONE ANGULLIA PARK,ANGULLIA PARK,27639.5164198,31798.350647270002
745,CCR,CENTENNIA SUITES,KIM SENG ROAD,28054.426015839999,30640.428878600001
746,CCR,HOLLAND TOWER,HOLLAND HEIGHTS,24607.677974180001,32252.32615588
747,CCR,ASPEN LINQ,INSTITUTION HILL,28720.483972820001,30866.29160921
748,CCR,LATITUDE,JALAN MUTIARA,27370.143140440001,30973.008194759999
749,CCR,RESIDENCE 8,LENGKOK MERAK,27141.180608649999,31632.216371400001
750,CCR,BALMORAL CREST,BALMORAL CRESCENT,28070.90621545,33153.02534055
751,CCR,BIRMINGHAM MANSIONS,THOMSON ROAD,29329.288181449999,33349.788097690002
752,RCR,LANDED HOUSING DEVELOPMENT,MULBERRY AVENUE,33037.308695630001,34885.845108409998
753,OCR,LANDED HOUSING DEVELOPMENT,LENGKONG EMPAT,36788.132828710002,34460.226568299998
754,OCR,SIN CHUAN GARDEN,JALAN WARINGIN,37394.3542,33986.0569
755,CCR,FERNHILL PLACE,FERNHILL ROAD,27149.09753563,33013.904600540003
756,CCR,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,24100.919649790001,33775.017156310002
757,CCR,CAMWOOD PARK,GALLOP ROAD,25533.725412940001,33023.681968239998
758,CCR,SKYLINE 360 @ SAINT THOMAS WALK,ST. THOMAS WALK,28389.8086,31020.0468
759,RCR,RIVIERA 38,MAR THOMA ROAD,31390.797735520001,34510.03442036
760,CCR,LEONIE SUITES,LEONIE HILL,27836.0925869,31283.0053744
761,OCR,THE LENOX,CHANGI ROAD,36672.556271270001,33426.213567280003
762,CCR,EDEN PARK,MAPLE AVENUE,23484.363179529999,34864.139895219999
763,RCR,TOPAZ MANSIONS,TOPAZ ROAD,31639.26249817,34505.375015879999
764,CCR,LANDED HOUSING DEVELOPMENT,JALAN NAGA SARI,24282.9534428,34837.478028609997
765,CCR,STRATA,ESSEX ROAD,29335.51980702,33312.097030670001
766,CCR,NIVEN LOFT,NIVEN ROAD,29842.53820574,31806.162838860001
767,RCR,SKYSUITES17,JALAN RAJAH,29595.2782,34433.7484
768,CCR,CORONATION VILLAGE,CORONATION ROAD,24775.18958744,33933.59501543
769,OCR,ESCADA VIEW,LENGKONG EMPAT,36941.320165339998,34560.217682219998
770,RCR,NICOLE GREEN,GUILLEMARD ROAD,33164.82598225,32406.881786259999
771,CCR,LANDED HOUSING DEVELOPMENT,JERVOIS ROAD,26175.200626979999,30975.954467529998
772,CCR,LANDED HOUSING DEVELOPMENT,GREENLEAF PLACE,22702.400757859999,34112.370059800004
773,CCR,CLIFTEN,EWE BOON ROAD,27542.312061379999,33354.377993299997
774,CCR,RHAPSODY ON MOUNT ELIZABETH,MOUNT ELIZABETH,28346.490764400001,32115.512445359999
